"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"yp_base[48]",39.4034262,39.4056,1.42387879109547,1.3232205,37.14575,41.68299,1.0004385507299,1466.53769190871,1384.7151559176
"yp_base[49]",37.09441515,37.1011,1.67521481742988,1.56199323,34.441955,39.78269,1.00040452167947,1425.48318357172,1275.23845064537
"yp_base[50]",38.144978975,38.15515,1.55933704326521,1.45754406,35.669355,40.6623,1.00038913685158,1441.86562697182,1294.18935561028
"yp[1]",39.689555775,39.6704,3.294727864024,3.06683223,34.36705,45.107805,1.00041560140397,3338.44618812627,3166.66396812196
"yp[2]",39.30156945,39.28855,3.3210509790348,3.15319368,33.939785,44.766615,1.00057308310723,3248.94576844282,3514.8556474213
"yp[3]",38.6611945,38.65575,3.38895902844131,3.10760373000001,33.08826,44.19518,1.0003358505136,3061.5173791745,3091.51237816759
"yp[4]",38.126667925,38.16755,3.37486293693455,3.24385467,32.71099,43.60376,1.0001928518364,2650.4675618197,2536.11574029456
"yp[5]",38.247503775,38.3019,3.37736921638488,3.25371395999999,32.803685,43.64442,1.00068271599318,2918.10770590383,2995.04622049431
"yp[6]",38.807332975,38.85025,3.32479665015943,3.17632223999999,33.2787,44.194655,1.00036849392091,3117.26484233091,3328.49289603249
"yp[7]",39.59864515,39.579,3.2586276569191,3.05838141,34.34233,44.817785,1.00061507028403,2881.29153633514,2925.60284418131
"yp[8]",37.66155395,37.65725,3.37481931504143,3.13651443000001,32.11002,43.111615,1.00021884849309,3051.97082395092,3158.15253241568
"yp[9]",39.234392425,39.23165,3.32343527703569,3.10500918,33.855905,44.591005,1.00079774160784,3217.21907521924,3078.73653501324
"yp[10]",39.9802018,40.00075,3.3361505766121,3.13243728000001,34.41427,45.2865,0.999855045035857,2528.76149022723,2501.89033922989
"yp[11]",38.315564625,38.26685,3.35061287887711,3.08647668,32.884915,43.864315,0.999893763880376,2971.96358916094,2982.72848629347
"yp[12]",38.877797275,38.86285,3.35988510556548,3.17869440000001,33.236725,44.2778,1.00094099881416,3172.61702523672,3527.95266028609
"yp[13]",38.722474675,38.7108,3.26874524859329,3.08462343,33.528895,44.072155,1.0019059327752,2815.07050578625,3247.94563961601
"yp[14]",40.002095375,39.95665,3.2673602992848,3.02413335,34.77516,45.31463,0.999908508086031,2889.40371291066,2991.73627870314
"yp[15]",38.711889875,38.6908,3.37945244763874,3.10701068999999,33.159975,44.21327,0.999837685490179,3111.18272573324,3294.41842945404
"yp[16]",38.0944404,38.1604,3.3854663560601,3.18773826,32.641005,43.642095,1.00143114903395,3074.14546401596,3038.78305303801
"yp[17]",38.091802,38.0744,3.27553412291547,3.08239953,32.7608,43.356725,1.00205686673891,2852.76350846674,3097.81155981371
"yp[18]",37.744620075,37.82215,3.36272948734369,3.21398028,32.20233,43.00363,0.999990632818549,2900.88871956963,2739.33156111082
"yp[19]",39.562492925,39.60545,3.28806268730028,3.12480189,34.38435,44.96672,1.00042362983516,2649.12829885118,2712.47540364017
"yp[20]",37.01906595,37.0075,3.38970675511791,3.19211192999999,31.59823,42.54938,0.999794234030175,2818.91710265848,3136.01915001593
"yp[21]",38.727343225,38.7481,3.23536987984897,3.09188817000001,33.502865,43.90844,1.0002278225785,2660.2272478089,2867.93188262198
"yp[22]",38.897610975,38.87435,3.31840810932547,3.15853104,33.462345,44.23708,0.99977458449754,3125.93642693018,2899.33925991572
"yp[23]",37.920003425,37.9746,3.36943651184105,3.15356432999999,32.4089,43.361925,1.00088177886049,2549.57033450098,2083.16077919242
"yp[24]",38.703276475,38.6795,3.27448897584987,3.09752205,33.321345,44.068085,0.999627701808631,2895.24596603899,3271.72497956513
"yp[25]",38.336439425,38.36685,3.36953237429744,3.16868685,32.80596,43.65574,1.00061498418716,2783.63381565455,2884.72346829809
"yp[26]",37.700905325,37.69915,3.29928140877111,3.0823254,32.431405,43.063945,1.00035338707091,2646.83349721079,3041.17713810555
"yp[27]",38.183288875,38.18505,3.3910196991272,3.2728395,32.6983,43.55145,1.0006490814841,2930.21443437645,3122.58411038872
"yp[28]",40.467095975,40.4624,3.28313732041206,3.05549034,35.201995,45.86745,1.00072461236895,3052.60992968365,3119.99788270619
"yp[29]",38.5799452,38.5872,3.25711906674989,3.09055383000001,33.150685,43.83295,1.0000899564745,3140.06660496526,2945.3292310778
"yp[30]",37.528453425,37.5554,3.37892357131875,3.20886531,31.86025,42.91401,1.00155973170555,2791.230357509,3339.25266556558
"yp[31]",38.103782275,38.063,3.34981677375387,3.20382446999999,32.764785,43.641375,1.00201447482629,2363.81959745772,2593.3640680116
"yp[32]",38.293536975,38.2402,3.33186730294312,3.10923459,32.810325,43.74078,1.00064365280278,3024.4528063074,2566.36128459267
"yp[33]",38.61059495,38.58415,3.35050906101991,3.23154908999999,33.197905,44.205375,1.00003745092982,2976.23142368564,3232.16963275395
"yp[34]",37.290884125,37.28235,3.42056937367897,3.24281685,31.73296,42.93627,1.0000743353458,2973.5859101299,3262.23928317711
"yp[35]",39.38021535,39.2941,3.3042254589624,3.07439349,34.01739,44.7906,0.999979031208106,3289.63371213737,3580.02393166657
"yp[36]",37.347269,37.34915,3.41724637634136,3.28484856,31.74223,42.858265,1.00079501134143,2740.68286329076,2817.31765705294
"yp[37]",39.33684805,39.35385,3.23158809601592,3.15741909,34.0266,44.42578,1.00015589140311,2983.6096601206,2855.8090924403
"yp[38]",38.82624425,38.85305,3.32656723005803,3.15934647,33.42981,44.13007,1.00124905023947,3003.99045222968,2967.45876481607
"yp[39]",39.3472807,39.39105,3.36341688640889,3.15853104,33.82869,44.747935,1.0003641156814,3258.52758987382,2978.00743179466
"yp[40]",38.250242625,38.2388,3.36128363990419,3.22406196,32.80473,43.66542,1.00046716713591,2582.19365341311,2245.61485397986
"yp[41]",39.168438225,39.1702,3.32289017945787,3.0697233,33.88047,44.466095,1.0003806636616,3277.04904529854,2865.66828085639
"yp[42]",39.022719675,39.0573,3.30972973239595,3.04518627,33.565665,44.267025,1.0005637959523,3187.95289559528,2835.67127596285
"yp[43]",39.00116745,39.02335,3.31936497645065,3.14088809999999,33.56776,44.393415,0.999611965765982,3108.47889353664,2622.30337417242
"yp[44]",38.720509225,38.7036,3.27681272402536,3.06979743,33.332985,44.080555,1.00030932431396,2800.12729901766,2870.41674559477
"yp[45]",39.1673754,39.2374,3.21945287090087,3.00908496,33.78862,44.10955,1.00094172731443,2969.70665638281,3480.75044955377
"yp[46]",39.098567725,39.0835,3.22932762621187,3.08321496,33.99882,44.337235,0.999954825091387,2996.80561605785,3299.84101525082
"yp[47]",39.236828075,39.2228,3.33458990287552,3.20078514,33.861695,44.62782,1.00115733693899,2661.90308945773,3079.21524331647
"yp[48]",39.348975725,39.4466,3.26917680195854,3.06349638,34.06775,44.5829,1.000667840207,3091.05390988699,3752.71932886321
"yp[49]",37.122263225,37.12125,3.39077430189208,3.27039321,31.673455,42.580865,1.00124475978079,2880.80217500634,2905.92571499321
"yp[50]",38.135836825,38.0994,3.39463687163134,3.13747812,32.65718,43.722665,1.00033638208404,2969.65864098658,2481.96344420731
